Ticker,Name,Sector,Shares
AAN,AARONS INC,Consumer Discretionary,518459
ABG,ASBURY AUTOMOTIVE GROUP INC.,Consumer Discretionary,103199
ADNT,ADIENT PLC,Consumer Discretionary,774755
AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,1326267
AGS,PLAYAGS INC,Consumer Discretionary,171427
ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,546650
APEI,AMERICAN PUBLIC EDUCATION INC,Consumer Discretionary,126312
ATGE,ADTALEM GLOBAL EDUCATION INC,Consumer Discretionary,458149
AXL,AMERICAN AXLE AND MANUFACTURING HO,Consumer Discretionary,994191
BBBY,BED BATH AND BEYOND INC,Consumer Discretionary,1118184
BBX,BBX CAPITAL CORP CLASS A,Consumer Discretionary,111865
BH,BIGLARI HOLDINGS INCINARY CLASS B,Consumer Discretionary,8042
BHA,BIGLARI HOLDINGS INC CLASS A,Consumer Discretionary,620
BIG,BIG LOTS INC,Consumer Discretionary,317966
BJRI,BJS RESTAURANTS INC,Consumer Discretionary,164208
BKE,BUCKLE INC,Consumer Discretionary,254425
BOOT,BOOT BARN HOLDINGS INC,Consumer Discretionary,23543
BXG,BLUEGREEN CORP,Consumer Discretionary,63783
BYD,BOYD GAMING CORP,Consumer Discretionary,717050
BZH,BEAZER HOMES INC,Consumer Discretionary,249685
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,372213
CAL,CALERES INC,Consumer Discretionary,336822
CATO,CATO CORP CLASS A,Consumer Discretionary,183636
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,121117
CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,258409
CHS,CHICOS FAS INC,Consumer Discretionary,1043359
CHUY,CHUYS HOLDINGS INC,Consumer Discretionary,146803
CLAR,CLARUS CORP,Consumer Discretionary,187715
CLCT,COLLECTORS UNIVERSE INC,Consumer Discretionary,7295
CNTY,CENTURY CASINOS INC,Consumer Discretionary,245590
CONN,CONNS INC,Consumer Discretionary,153274
CORE,CORE MARK HOLDING INC,Consumer Discretionary,27132
CPS,COOPER STANDARD HOLDINGS INC,Consumer Discretionary,147207
CRMT,AMERICAS CAR-MART INC,Consumer Discretionary,13006
CSPR,CASPER SLEEP INC,Consumer Discretionary,59202
CSV,CARRIAGE SERVICES INC,Consumer Discretionary,145095
CTB,COOPER TIRE AND RUBBER,Consumer Discretionary,443146
CTRN,CITI TRENDS INC,Consumer Discretionary,97584
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,494776
DAN,DANA INCORPORATED INC,Consumer Discretionary,1273412
DBI,DESIGNER BRANDS INC CLASS A,Consumer Discretionary,539887
DDS,DILLARDS INC CLASS A,Consumer Discretionary,66254
DENN,DENNYS CORP,Consumer Discretionary,166513
DIN,DINE BRANDS GLOBAL INC,Consumer Discretionary,127786
DLTH,DULUTH HOLDINGS INC CLASS B,Consumer Discretionary,95863
EAT,BRINKER INTERNATIONAL INC,Consumer Discretionary,130802
ELA,ENVELA CORP,Consumer Discretionary,18369
ELY,CALLAWAY GOLF,Consumer Discretionary,824275
ESCA,ESCALADE INC,Consumer Discretionary,90750
ETH,ETHAN ALLEN INC,Consumer Discretionary,205675
EVRI,EVERI HOLDINGS INC,Consumer Discretionary,463045
EXPR,EXPRESS INC,Consumer Discretionary,598317
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,122171
FNKO,FUNKO INC CLASS A,Consumer Discretionary,219495
FOSL,FOSSIL GROUP INC,Consumer Discretionary,420748
FRG,FRANCHISE GROUP INC,Consumer Discretionary,149773
FRGI,FIESTA RESTAURANT GROUP INC,Consumer Discretionary,163876
GAN,GAN LTD,Consumer Discretionary,14493
GCO,GENESCO INC,Consumer Discretionary,123666
GDEN,GOLDEN ENTERTAINMENT INC,Consumer Discretionary,97027
GES,GUESS INC,Consumer Discretionary,383502
GIII,G III APPAREL GROUP LTD,Consumer Discretionary,385239
GME,GAMESTOP CORP CLASS A,Consumer Discretionary,502109
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,231015
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,153801
GPRO,GOPRO INC CLASS A,Consumer Discretionary,124347
GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,208033
GRPN,GROUPON INC,Consumer Discretionary,201273
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,2037363
HBB,HAMILTON BEACH BRANDS HOLDING COMP,Consumer Discretionary,44016
HEAR,TURTLE BEACH CORP,Consumer Discretionary,119831
HIBB,HIBBETT SPORTS INC,Consumer Discretionary,144825
HMHC,HOUGHTON MIFFLIN HARCOURT,Consumer Discretionary,920899
HOFT,HOOKER FURNITURE CORP,Consumer Discretionary,98596
HOME,AT HOME GROUP INC,Consumer Discretionary,422829
HUD,HUDSON LTD CLASS A,Consumer Discretionary,346178
HVT,HAVERTY FURNITURE COMPANIES INC,Consumer Discretionary,147892
HZO,MARINEMAX INC,Consumer Discretionary,181636
IGT,INTERNATIONAL GAME TECHNOLOGY PLC,Consumer Discretionary,877242
JACK,JACK IN THE BOX INC,Consumer Discretionary,177387
